,Geographic Cluster Name,Category Name,Meeting Type,Total Programs,Total Capacity,Average Max Age,Average Latitude,Average Capacity,population,income,latinos,blacks,white,asian,Percent of rowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population over 16,Percent Aged 25 and Over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income,Hardship Index Score,Capacity Per Capita
0,ALBANY PARK,Academic Support,face_to_face,14,210.0,7.928571428571429,41.97370338714285,15.0,51542.0,46198.0,0.494,0.04,0.292,0.144,6.4,12.6,6.6,19.3,31.7,32298.0,44.8,0.004074347134375849
1,ALBANY PARK,Building & Fixing Things,face_to_face,1,99.0,99.0,41.96839905,99.0,51542.0,46198.0,0.494,0.04,0.292,0.144,6.4,12.6,6.6,19.3,31.7,32298.0,44.8,0.0019207636490629002
2,ALBANY PARK,Computers.,face_to_face,5,3930.0,18.6,41.96839294600001,786.0,51542.0,46198.0,0.494,0.04,0.292,0.144,6.4,12.6,6.6,19.3,31.7,32298.0,44.8,0.07624849637189089
3,ALBANY PARK,Healthcare,face_to_face,2,20.0,99.0,41.973714830000006,10.0,51542.0,46198.0,0.494,0.04,0.292,0.144,6.4,12.6,6.6,19.3,31.7,32298.0,44.8,0.0003880330604167475
4,ALBANY PARK,Music & Art.,face_to_face,187,38557.0,51.44385026737968,41.97087462540105,206.18716577540107,51542.0,46198.0,0.494,0.04,0.292,0.144,6.4,12.6,6.6,19.3,31.7,32298.0,44.8,0.7480695355244267
5,ALBANY PARK,Music & Art.,online,1,10.0,12.0,41.97372818,10.0,51542.0,46198.0,0.494,0.04,0.292,0.144,6.4,12.6,6.6,19.3,31.7,32298.0,44.8,0.00019401653020837374
6,ALBANY PARK,Nature.,face_to_face,9,304.0,47.888888888888886,41.97271855888889,33.77777777777778,51542.0,46198.0,0.494,0.04,0.292,0.144,6.4,12.6,6.6,19.3,31.7,32298.0,44.8,0.0058981025183345625
7,ALBANY PARK,Reading & Writing.,face_to_face,32,1927.0,20.9375,41.96930170218751,60.21875,51542.0,46198.0,0.494,0.04,0.292,0.144,6.4,12.6,6.6,19.3,31.7,32298.0,44.8,0.03738698537115362
8,ALBANY PARK,Science ,face_to_face,5,20.0,11.2,41.968395998000005,4.0,51542.0,46198.0,0.494,0.04,0.292,0.144,6.4,12.6,6.6,19.3,31.7,32298.0,44.8,0.0003880330604167475
9,ALBANY PARK,Sports + Wellness.,face_to_face,183,2789.0,19.23497267759563,41.970149578961774,15.240437158469945,51542.0,46198.0,0.494,0.04,0.292,0.144,6.4,12.6,6.6,19.3,31.7,32298.0,44.8,0.05411121027511544
10,ARCHER HEIGHTS,Academic Support,face_to_face,8,100.0,7.0,41.80349922250001,12.5,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9,0.007466587023071754
11,ARCHER HEIGHTS,Academic Support,online,1,10.0,6.0,41.80348587,10.0,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9,0.0007466587023071754
12,ARCHER HEIGHTS,Building & Fixing Things,face_to_face,3,1813.0,99.0,41.80089442333334,604.3333333333334,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9,0.1353692227282909
13,ARCHER HEIGHTS,Computers.,face_to_face,1,18.0,99.0,41.87630081,18.0,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9,0.0013439856641529156
14,ARCHER HEIGHTS,Food.,face_to_face,1,15.0,14.0,41.80348587,15.0,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9,0.001119988053460763
15,ARCHER HEIGHTS,Helping Your Community.,face_to_face,1,9.0,16.0,41.80350113,9.0,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9,0.0006719928320764578
16,ARCHER HEIGHTS,Music & Art.,face_to_face,64,2986.0,27.640625,41.801994445625006,46.65625,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9,0.22295228850892257
17,ARCHER HEIGHTS,Music & Art.,online,1,9.0,13.0,41.80348587,9.0,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9,0.0006719928320764578
18,ARCHER HEIGHTS,Nature.,face_to_face,3,0.0,99.0,41.80350113,0.0,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9,0.0
19,ARCHER HEIGHTS,Performance.,face_to_face,1,100.0,0.0,41.80350113,100.0,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9,0.007466587023071754
20,ARCHER HEIGHTS,Reading & Writing.,face_to_face,42,2178.0,54.42857142857143,41.8021240261905,51.857142857142854,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9,0.1626222653625028
21,ARCHER HEIGHTS,Reading & Writing.,online,2,28.0,52.5,41.80348587,14.0,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9,0.002090644366460091
22,ARCHER HEIGHTS,Sports + Wellness.,face_to_face,147,3646.0,27.170068027210885,41.80346562972789,24.802721088435373,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9,0.27223176286119616
23,ARCHER HEIGHTS,Sports + Wellness.,online,1,10.0,16.0,41.80348587,10.0,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9,0.0007466587023071754
24,ARCHER HEIGHTS,Work + Career ,face_to_face,1,15.0,16.0,41.8022995,15.0,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9,0.001119988053460763
25,ARMOUR SQUARE,Academic Support,face_to_face,26,13895.0,20.26923076923077,41.84109496923077,534.4230769230769,13391.0,27619.0,0.035,0.106,0.123,0.726,5.7,28.3,7.1,33.6,42.7,24823.0,62.9,1.0376372190277052
26,ARMOUR SQUARE,Building & Fixing Things,face_to_face,1,0.0,99.0,41.854080200000006,0.0,13391.0,27619.0,0.035,0.106,0.123,0.726,5.7,28.3,7.1,33.6,42.7,24823.0,62.9,0.0
27,ARMOUR SQUARE,Food.,face_to_face,3,18.0,13.333333333333334,41.83420689666667,6.0,13391.0,27619.0,0.035,0.106,0.123,0.726,5.7,28.3,7.1,33.6,42.7,24823.0,62.9,0.0013441863938466133
28,ARMOUR SQUARE,Healthcare,face_to_face,1,18.0,99.0,41.85409927,18.0,13391.0,27619.0,0.035,0.106,0.123,0.726,5.7,28.3,7.1,33.6,42.7,24823.0,62.9,0.0013441863938466133
29,ARMOUR SQUARE,Math,face_to_face,2,74.0,16.0,41.85449982,37.0,13391.0,27619.0,0.035,0.106,0.123,0.726,5.7,28.3,7.1,33.6,42.7,24823.0,62.9,0.005526099619147189
30,ARMOUR SQUARE,Music & Art.,face_to_face,136,36938.0,43.43382352941177,41.84211971985297,271.6029411764706,13391.0,27619.0,0.035,0.106,0.123,0.726,5.7,28.3,7.1,33.6,42.7,24823.0,62.9,2.7584198342170114
31,ARMOUR SQUARE,Nature.,face_to_face,20,38.0,81.05,41.83126258699999,1.9,13391.0,27619.0,0.035,0.106,0.123,0.726,5.7,28.3,7.1,33.6,42.7,24823.0,62.9,0.0028377268314539617
32,ARMOUR SQUARE,Reading & Writing.,face_to_face,33,446.0,51.39393939393939,41.841475168181816,13.515151515151516,13391.0,27619.0,0.035,0.106,0.123,0.726,5.7,28.3,7.1,33.6,42.7,24823.0,62.9,0.03330595175864386
33,ARMOUR SQUARE,Science ,face_to_face,9,1646.0,31.444444444444443,41.85193040444445,182.88888888888889,13391.0,27619.0,0.035,0.106,0.123,0.726,5.7,28.3,7.1,33.6,42.7,24823.0,62.9,0.12291837801508476
34,ARMOUR SQUARE,Social Studies ,face_to_face,1,18.0,99.0,41.85409927,18.0,13391.0,27619.0,0.035,0.106,0.123,0.726,5.7,28.3,7.1,33.6,42.7,24823.0,62.9,0.0013441863938466133
35,ARMOUR SQUARE,Sports + Wellness.,face_to_face,209,2319.0,27.574162679425836,41.8343111049283,11.095693779904305,13391.0,27619.0,0.035,0.106,0.123,0.726,5.7,28.3,7.1,33.6,42.7,24823.0,62.9,0.17317601374057204
36,ARMOUR SQUARE,Sports + Wellness.,online,7,110.0,86.71428571428571,41.83644049428572,15.714285714285714,13391.0,27619.0,0.035,0.106,0.123,0.726,5.7,28.3,7.1,33.6,42.7,24823.0,62.9,0.008214472406840416
37,ARMOUR SQUARE,Work + Career ,face_to_face,3,17.0,21.0,41.845766706666666,5.666666666666667,13391.0,27619.0,0.035,0.106,0.123,0.726,5.7,28.3,7.1,33.6,42.7,24823.0,62.9,0.001269509371966246
38,ASHBURN,Academic Support,face_to_face,37,575.0,9.297297297297296,41.74514038486487,15.54054054054054,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.013996738151456878
39,ASHBURN,Building & Fixing Things,face_to_face,6,333.0,85.5,41.74726549499999,55.5,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.008105937051191548
40,ASHBURN,Computers.,face_to_face,4,135.0,79.5,41.7403812425,33.75,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.003286190696429006
41,ASHBURN,Computers.,online,1,18.0,99.0,,18.0,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.0004381587595238675
42,ASHBURN,Food.,face_to_face,3,42.0,12.0,41.741998036666665,14.0,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.0010223704388890242
43,ASHBURN,Healthcare,face_to_face,1,18.0,99.0,41.85409927,18.0,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.0004381587595238675
44,ASHBURN,Healthcare,online,1,18.0,99.0,,18.0,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.0004381587595238675
45,ASHBURN,Helping Your Community.,face_to_face,3,20.0,34.0,41.79390971,6.666666666666667,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.0004868430661376305
46,ASHBURN,Managing Money.,face_to_face,3,36.0,73.0,41.764509839999995,12.0,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.000876317519047735
47,ASHBURN,Music & Art.,face_to_face,263,220649.0,58.09505703422053,41.74400545688206,838.9695817490494,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,5.371071785010102
48,ASHBURN,Music & Art.,online,4,48.0,30.75,41.74010340333333,12.0,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.0011684233587303133
49,ASHBURN,Nature.,face_to_face,19,69.0,92.52631578947368,41.75957328263158,3.6315789473684212,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.0016796085781748253
50,ASHBURN,Reading & Writing.,face_to_face,57,3395.0,62.19298245614035,41.750616373157875,59.56140350877193,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.08264161047686279
51,ASHBURN,Reading & Writing.,online,3,49.0,36.333333333333336,41.74199295,16.333333333333332,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.001192765512037195
52,ASHBURN,Science ,face_to_face,3,119.0,41.333333333333336,41.74333318,39.666666666666664,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.002896716243518902
53,ASHBURN,Science ,online,1,18139.0,99.0,,18139.0,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.441542318833524
54,ASHBURN,Sports + Wellness.,face_to_face,658,10813.0,27.577507598784194,41.742927904164276,16.433130699088146,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.26321170370730995
55,ASHBURN,Sports + Wellness.,online,21,331.0,51.95238095238095,41.74105399142857,15.761904761904763,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.008057252744577786
56,ASHBURN,Work + Career ,face_to_face,1,10.0,19.0,41.75040054,10.0,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.00024342153306881526
57,AUBURN GRESHAM,Academic Support,face_to_face,13,252.0,14.307692307692308,41.746978466923075,19.384615384615383,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,0.00516997312434606
58,AUBURN GRESHAM,Building & Fixing Things,face_to_face,70,2533.0,39.857142857142854,41.740909739142886,36.18571428571428,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,0.05196643620622449
59,AUBURN GRESHAM,Computers.,face_to_face,14,2192.0,15.428571428571429,41.739613124285704,156.57142857142858,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,0.04497055987526414
60,AUBURN GRESHAM,Computers.,online,1,18.0,99.0,,18.0,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,0.00036928379459614716
61,AUBURN GRESHAM,Healthcare,face_to_face,1,18.0,99.0,41.75740051,18.0,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,0.00036928379459614716
62,AUBURN GRESHAM,Helping Your Community.,face_to_face,12,463.0,24.166666666666668,41.743936856666664,38.583333333333336,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,0.009498799827667562
63,AUBURN GRESHAM,Music & Art.,face_to_face,286,131419.0,46.44755244755245,41.748434946293635,459.506993006993,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,2.6961615001128365
64,AUBURN GRESHAM,Music & Art.,online,3,242.0,27.0,41.75737381,80.66666666666667,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,0.004964815460681534
65,AUBURN GRESHAM,Nature.,face_to_face,4,0.0,99.0,41.7418508525,0.0,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,0.0
66,AUBURN GRESHAM,Reading & Writing.,face_to_face,78,113732.0,22.94871794871795,41.75934028474361,1458.1025641025642,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,2.3332991403893892
67,AUBURN GRESHAM,Reading & Writing.,online,1,18.0,99.0,,18.0,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,0.00036928379459614716
68,AUBURN GRESHAM,Science ,face_to_face,16,400.0,28.875,41.75695967437501,25.0,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,0.008206306546581048
69,AUBURN GRESHAM,Social Studies ,face_to_face,3,99.0,45.0,41.75740051,33.0,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,0.0020310608702788094
70,AUBURN GRESHAM,Social Studies ,online,1,18.0,99.0,,18.0,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,0.00036928379459614716
71,AUBURN GRESHAM,Sports + Wellness.,face_to_face,289,4859.0,39.083044982698965,41.74242556778567,16.813148788927336,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,0.09968610877459327
72,AUBURN GRESHAM,Sports + Wellness.,online,33,355.0,43.484848484848484,41.741394039999996,10.757575757575758,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,0.0072830970600906795
73,AUBURN GRESHAM,Work + Career ,face_to_face,1,10.0,19.0,41.75040054,10.0,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,0.0002051576636645262
74,AUSTIN,Academic Support,face_to_face,46,984.0,20.608695652173914,41.886350300434785,21.391304347826086,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.009988428040684573
75,AUSTIN,Building & Fixing Things,face_to_face,4,0.0,58.5,41.891400335,0.0,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.0
76,AUSTIN,Computers.,face_to_face,15,2023.0,27.533333333333335,41.89261423666666,134.86666666666667,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.020535152364130987
77,AUSTIN,Customer/Human Service,face_to_face,1,0.0,21.0,41.87389374,0.0,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.0
78,AUSTIN,Digital Media.,face_to_face,10,68.0,20.1,41.890830232,6.8,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.0006902572223237306
79,AUSTIN,Digital Media.,online,1,0.0,24.0,,0.0,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.0
80,AUSTIN,Food.,face_to_face,40,1515.0,21.15,41.89367351649999,37.875,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.015378524879712528
81,AUSTIN,Food.,online,1,10.0,13.0,41.91335678,10.0,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.00010150841504760745
82,AUSTIN,Healthcare,face_to_face,25,87.0,26.96,41.90356033119999,3.48,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.0008831232109141848
83,AUSTIN,Helping Your Community.,face_to_face,32,512.0,40.53125,41.886712433125005,16.0,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.005197230850437501
84,AUSTIN,Helping Your Community.,online,3,60.0,14.333333333333334,41.88835907,20.0,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.0006090504902856446
85,AUSTIN,Managing Money.,face_to_face,1,18.0,99.0,41.89532089,18.0,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.0001827151470856934
86,AUSTIN,Music & Art.,face_to_face,489,1073405.0,57.719836400818,41.8919542384049,2195.1022494887525,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,10.895964025417706
87,AUSTIN,Music & Art.,online,30,2308.0,40.733333333333334,41.88110456931034,76.93333333333334,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.0234281421929878
88,AUSTIN,Nature.,face_to_face,66,622.0,85.56060606060606,41.89039877727274,9.424242424242424,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.0063138234159611836
89,AUSTIN,Performance.,face_to_face,22,580.0,52.45454545454545,41.88729008681817,26.363636363636363,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.005887488072761232
90,AUSTIN,Reading & Writing.,face_to_face,128,8995.0,59.59375,41.89745792734378,70.2734375,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.09130681933532289
91,AUSTIN,Reading & Writing.,online,4,95.0,6.0,41.88835907,23.75,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.0009643299429522707
92,AUSTIN,Science ,face_to_face,88,4679.0,90.54545454545455,41.900657783181856,53.17045454545455,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.04749578740077552
93,AUSTIN,Social Studies ,face_to_face,5,83.0,42.4,41.88526764,16.6,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.0008425198448951418
94,AUSTIN,Sports + Wellness.,face_to_face,765,11845.0,36.48627450980392,41.89174395328084,15.483660130718954,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.12023671762389102
95,AUSTIN,Sports + Wellness.,online,94,1509.0,50.180851063829785,41.8916433610753,16.0531914893617,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.015317619830683964
96,AUSTIN,Teaching,face_to_face,1,200.0,23.0,41.89496613,200.0,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.0020301683009521488
97,AUSTIN,Work + Career ,face_to_face,11,447.0,49.54545454545455,41.88630364181818,40.63636363636363,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.004537426152628053
98,AUSTIN,Work + Career ,online,2,0.0,23.0,41.89484787,0.0,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.0
99,AVALON PARK,Academic Support,face_to_face,21,372.0,87.0,41.745940071428585,17.714285714285715,10185.0,46903.0,0.015,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1,0.03652430044182622
100,AVALON PARK,Building & Fixing Things,face_to_face,1,99.0,99.0,41.74629974,99.0,10185.0,46903.0,0.015,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1,0.009720176730486009
101,AVALON PARK,Managing Money.,face_to_face,46,4502.0,99.0,41.74630438434783,97.8695652173913,10185.0,46903.0,0.015,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1,0.4420225822287678
102,AVALON PARK,Music & Art.,face_to_face,93,55854.0,55.44086021505376,41.746226072688145,600.5806451612904,10185.0,46903.0,0.015,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1,5.483946980854197
103,AVALON PARK,Music & Art.,online,2,442.0,7.0,,221.0,10185.0,46903.0,0.015,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1,0.04339715267550319
104,AVALON PARK,Nature.,face_to_face,4,0.0,99.0,41.74359894,0.0,10185.0,46903.0,0.015,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1,0.0
105,AVALON PARK,Reading & Writing.,face_to_face,28,682.0,44.92857142857143,41.7548114207143,24.357142857142858,10185.0,46903.0,0.015,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1,0.06696121747668139
106,AVALON PARK,Science ,face_to_face,4,1901.0,99.0,41.746315,475.25,10185.0,46903.0,0.015,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1,0.18664702994599902
107,AVALON PARK,Sports + Wellness.,face_to_face,89,2169.0,32.97752808988764,41.7436017687641,24.370786516853933,10185.0,46903.0,0.015,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1,0.212960235640648
108,AVALON PARK,Sports + Wellness.,online,2,30.0,56.0,41.743640899999995,15.0,10185.0,46903.0,0.015,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1,0.0029455081001472753
109,AVALON PARK,Work + Career ,face_to_face,2,25.0,16.0,41.73809815,12.5,10185.0,46903.0,0.015,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1,0.002454590083456063
110,AVONDALE,Academic Support,face_to_face,15,213.0,8.4,41.94134165466667,14.2,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1,0.005425092965208089
111,AVONDALE,Academic Support,online,1,10.0,6.0,41.94128418,10.0,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1,0.00025469920024451123
112,AVONDALE,Food.,face_to_face,2,20.0,6.0,41.941291809999996,10.0,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1,0.0005093984004890225
113,AVONDALE,Healthcare,face_to_face,1,14.0,7.0,41.94129944,14.0,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1,0.00035657888034231573
114,AVONDALE,Helping Your Community.,face_to_face,5,210.0,17.0,41.93842849799999,42.0,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1,0.0053486832051347355
115,AVONDALE,Law,face_to_face,1,40.0,24.0,41.93592453,40.0,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1,0.001018796800978045
116,AVONDALE,Music & Art.,face_to_face,56,723.0,20.625,41.944162642857115,12.910714285714286,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1,0.018414752177678163
117,AVONDALE,Music & Art.,online,6,70.0,8.333333333333334,41.941312153333335,11.666666666666666,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1,0.0017828944017115786
118,AVONDALE,Nature.,face_to_face,9,60.0,48.77777777777778,41.94116465333333,6.666666666666667,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1,0.0015281952014670674
119,AVONDALE,Nature.,online,6,100.0,6.0,41.94128418,16.666666666666668,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1,0.0025469920024451123
120,AVONDALE,Performance.,face_to_face,6,240.0,39.333333333333336,41.94466400333333,40.0,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1,0.00611278080586827
121,AVONDALE,Performance.,online,3,30.0,6.0,41.941368100000005,10.0,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1,0.0007640976007335337
122,AVONDALE,Reading & Writing.,face_to_face,6,20.0,68.0,41.9410642,3.3333333333333335,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1,0.0005093984004890225
